,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
17,Warta Poznań,Chrobry Głogów,A,1,2,65,35,10,6,4,3,3,0,3.0,3.0,21,20,9,2,1.0,1.0,,,1,3,19.0,20.0,,,2,2,,,,,,,106,62,60,24,1.985,3.96,3.41,2020-06-30
15,GKS Bełchatów,Podbeskidzie B-B,D,1,1,40,60,10,21,4,8,4,11,2.0,2.0,15,16,3,12,1.0,2.0,,,7,3,15.0,13.0,,,2,1,,,,,,,49,75,23,67,4.37,1.8,3.775,2020-07-02
14,Stal Mielec,Odra Opole,D,1,1,54,46,17,11,8,6,5,1,4.0,4.0,17,14,8,7,3.0,2.0,,,5,7,11.0,15.0,,,0,2,,,,,,,88,68,65,35,1.74,4.645,3.9,2020-07-04
13,Warta Poznań,Puszcza Niepołomice,A,1,2,67,33,19,13,5,4,8,3,6.0,6.0,26,17,9,3,1.0,4.0,,,3,4,16.0,22.0,,,2,2,,,,,,,103,50,72,35,1.985,3.845,3.5,2020-07-04
12,Podbeskidzie B-B,Radomiak Radom,H,4,2,47,53,10,14,4,8,4,4,2.0,2.0,10,22,2,8,3.0,0.0,,,6,0,19.0,10.0,,,1,3,,,,,,,63,73,28,43,2.33,3.24,3.25,2020-07-05
11,Sandecja Nowy Sącz,Stal Mielec,H,2,1,47,53,7,13,4,4,2,8,1.0,1.0,19,26,2,5,4.0,2.0,,,3,2,22.0,17.0,,,3,2,,,,,,,64,84,32,42,3.96,1.91,3.685,2020-07-10
10,Zagłębie Sosnowiec,Warta Poznań,A,0,2,54,46,15,16,5,7,8,7,2.0,2.0,18,18,4,6,1.0,2.0,,,5,5,18.0,16.0,,,2,0,,,,,,,81,62,48,46,2.81,2.46,3.485,2020-07-10
9,GKS Jastrzębie,Podbeskidzie B-B,A,0,3,41,59,8,11,3,4,3,5,2.0,2.0,13,13,4,2,1.0,1.0,,,1,3,12.0,12.0,,,2,1,,,,,,,76,94,42,51,4.605,1.735,3.925,2020-07-11
8,Warta Poznań,GKS Tychy,D,2,2,37,63,7,11,5,5,1,5,1.0,1.0,19,22,2,4,1.0,4.0,,,3,3,21.0,15.0,,,4,2,,,,,,,69,97,35,64,2.225,3.1950000000000003,3.5,2020-07-14
7,Stal Mielec,Chrobry Głogów,H,1,0,48,52,13,10,4,3,6,4,3.0,3.0,15,17,5,6,1.0,1.0,,,3,3,16.0,14.0,,,1,2,,,,,,,72,82,41,44,1.85,4.21,3.675,2020-07-14
6,Podbeskidzie B-B,Odra Opole,H,4,3,54,46,17,11,6,5,7,2,4.0,4.0,11,22,4,2,1.0,3.0,,,2,2,21.0,8.0,,,1,2,,,,,,,78,66,45,30,1.95,3.835,3.625,2020-07-15
92,Zagłębie Sosnowiec,Stal Mielec,A,0,3,50,50,14,17,4,9,7,6,3.0,2.0,13,18,6,5,3.0,1.0,,,6,4,15.0,12.0,,,1,2,,,,,,,74,75,44,40,3.685,2.0,3.6,2020-07-17
4,Chojniczanka,Warta Poznań,A,1,2,46,54,17,20,5,10,8,6,4.0,4.0,21,10,10,6,0.0,1.0,,,8,4,10.0,20.0,,,1,4,,,,,,,67,101,55,70,3.93,1.85,3.875,2020-07-18
5,Sandecja Nowy Sącz,Podbeskidzie B-B,H,1,0,49,51,11,11,6,3,1,4,4.0,4.0,23,19,6,4,1.0,2.0,,,3,5,18.0,21.0,,,4,2,,,,,,,76,76,49,26,2.4850000000000003,2.69,3.65,2020-07-18
2,Stal Mielec,Chojniczanka,H,4,1,52,48,25,10,15,5,8,3,2.0,2.0,15,18,7,2,2.0,5.0,,,4,11,16.0,10.0,,,2,2,,,,,,,59,47,39,25,1.3250000000000002,8.635000000000002,5.7,2020-07-25
1,Podbeskidzie B-B,Chrobry Głogów,A,0,1,61,39,12,9,3,4,8,4,1.0,1.0,12,10,5,5,0.0,1.0,,,3,3,10.0,11.0,,,3,2,,,,,,,71,46,45,21,1.98,3.605,3.785,2020-07-25
3,Warta Poznań,Stomil Olsztyn,A,1,2,56,44,16,8,6,2,8,4,2.0,2.0,28,18,9,7,1.0,6.0,,,0,5,17.0,21.0,,,1,2,,,,,,,86,73,46,36,2.5,2.71,3.61,2020-07-25
0,Warta Poznań,Bruk-Bet T.,H,1,0,55,45,11,10,5,3,2,3,4.0,4.0,20,33,3,3,4.0,0.0,,,3,4,29.0,20.0,,,4,3,,,,,,,74,58,49,38,2.425,3.0700000000000003,3.175,2020-07-28
91,Warta Poznań,Radomiak Radom,H,2,0,49,51,11,7,3,1,7,5,1.0,1.0,21,24,7,5,3.0,1.0,,,1,1,21.0,22.0,1.0,0.0,7,3,,,,,,,55,53,52,33,2.6,2.7750000000000004,3.25,2020-07-31
